EBOOK	TITLE	AUTHOR	MISC
40118	The Religious Tract Society Catalogue - 1889	by Various
40119	Curiosities of Light and Sight	by Shelford Bidwell
40120	The Vampire Cat	by Gerard Van Etten	[Subtitle: A Play in one act from the Japanese legend of Nabeshima cat]
40121	The Meeting-Place of Geology and History	by Sir John William Dawson
40122	Glimpses into the Abyss	by Mary Higgs
40124	Poetical Ingenuities and Eccentricities	by Various
40125	The Railroad Problem	by Edward Hungerford
40126	The Cock and Anchor	by Joseph Sheridan Le Fanu
40127	Joe Miller's Jests	by Elijah Jenkins	[Subtitle: or, The Wits Vade-Mecum]
40128	Blackwood's Edinburgh Magazine, Volume 64, No.394, August, 1848	by Various
40129	Missy	by Miriam Coles Harris	[Subtitle: A Novel]
40130	A Day with John Milton	by May Byron
40131	Early Travels in Palestine	by Arculf, et al	[Subtitle: Comprising the Narratives of Arculf, Willibald, Bernard, S?lf, Sigurd, Benjamin of Tudela, Sir John Maundeville, de la Brocqui?, and Maundrell]	[Editor: Thomas Wright]
40132	A Report on Washington Territory	by William Henry Ruffner
40133	Sister Anne (Novels of Paul de Kock, Volume X)	by Charles Paul de Kock
40134	A Moral Alphabet	by Hilaire Belloc
40135	The Makers of Modern Rome	by Mrs. Margaret Oliphant	[Subtitle: In Four Books]
40136	The Mercy of the Lord	by Flora Annie Steel
40137	The Red, White, and Green	by Herbert Hayens
40140	On the Face of the Waters	by Flora Annie Steel	[Subtitle: A Tale of the Mutiny]
40141	Red Rowans	by Flora Annie Steel
40142	Miss Stuart's Legacy	by Flora Annie Steel
40143	La Salle and the Discovery of the Great West	by Francis Parkman	[Subtitle: France and England in North America]
40144	A history of art in ancient Egypt, Vol. I (of 2)	by Georges Perrot and Charles Chipiez	[Translator: Sir Walter Armstrong]
40145	The Foolish Almanak	by Anonymous
40146	The City of Masks	by George Barr McCutcheon
40147	Harper's New Monthly Magazine, No. VI, November 1850, Vol. I	by Various
40148	The Footlights Fore and Aft	by Channing Pollock
40149	A History of Art in Ancient Egypt, Vol. II (of 2)	by Georges Perrot and Charles Chipiez	[Translator: Walter Armstrong]
40151	Constance Sherwood	by Lady Georgiana Fullerton	[Subtitle: An Autobiography Of The Sixteenth Century]
40152	Phil-o-Rum's Canoe and Madeleine Vercheres	by William Henry Drummond
40153	The First True Gentleman	by Anonymous	[Subtitle: A Study in the Human Nature of Our Lord]
40154	Sing a Song of Sixpence	by Mary Holdsworth
40155	Akbar	by P. A. S. van Limburg-Brouwer	[Subtitle: An Eastern Romance]	[Translator: M. M.]
40156	Encyclopaedia Britannica, 11th Edition, Volume 14, Slice 3	by Various	[Subtitle: Ichthyology to Independence]
40157	Breeding minks in Louisiana for their fur	by William Andre Elfer
40158	Manners, Vol 1 of 3	by Frances Brooke	[Subtitle: A Novel]
40159	Manners, Vol 2 of 3	by Frances Brooke	[Subtitle: A Novel]
40160	Manners, Vol 3 of 3	by Frances Brooke	[Subtitle: A Novel]
40161	A Book about Doctors	by John Cordy Jeaffreson
40162	The Humour and Pathos of Anglo-Indian Life	by Dr. Ticklemore	[Subtitle: Extracts from his brothers note-book.]
40164	History of the Opera from its Origin in Italy to the Present Time	by Henry Sutherland Edwards	[Subtitle: With Anecdotes of the Most Celebrated Composers and Vocalists of Europe]
40166	Notes and Queries, Index of Volume 4, July-December, 1851	by Various	[Subtitle: A Medium of Inter-communication for Literary Men, Artists, Antiquaries, Genealogists, etc.]	[Editor: George Bell]
40167	The Archaeology of the Yakima Valley	by Harlan Ingersoll Smith
40168	The Old Adam	by Arnold Bennett	[Subtitle: A Story of Adventure]
40170	The Romance of Aircraft	by Lawrence Yard Smith
40171	Notes and Queries, Vol. V, Number 114, January 3, 1852	by Various	[Subtitle: A Medium of Inter-communication for Literary Men, Artists, Antiquaries, Genealogists, etc.]	[Editor: George Bell]
40173	The Literature of the Old Testament	by George Foot Moore
40175	Physics	by Willis Eugene Tower,Charles Henry Smith, Charles Mark Turton and Thomas Darlington Cope
40176	Pippin; A Wandering Flame	by Laura E. Richards
40177	The Carter Girls	by Nell Speed
40178	The Carter Girls' Mysterious Neighbors	by Nell Speed
40179	The Carter Girls' Week-End Camp	by Nell Speed
40180	A Woman's Love	by Amelia Alderson Opie
40181	To Leeward	by F. Marion Crawford
40183	A Garden with House Attached	by Sarah Warner Brooks
40184	The Natural Cure of Consumption, Constipation, Bright's Disease, Neuralgia, Rheumatism	by Charles Edward Page	[Subtitle: How Sickness Originates, and How to Prevent It. A Health Manual for the People.]
40186	Baraboo, Dells, and Devil's Lake Region	by H. E. Cole
40187	Modern Geography	by Marion I. Newbigin
40188	Love in the Suds: a Town Eclogue	by William Kenrick	[Subtitle: Being the Lamentation of Roscius for the Loss of his NYKY]
40190	Science and Practice in Farm Cultivation	by James Buckman
40191	Josh Billings' Old Farmer's Allminax	by Henry Wheeler Shaw	[Subtitle: 1870-1879, with Comic Illustrations]
40192	A Student's History of England, v. 2 (of 3)	by Samuel Rawson Gardiner	[Subtitle: 1509-1689]
40196	The Oxford Book of American Essays	by Various	[Editor: Brander Matthews]
40197	The Country-Life Movement in the United States	by L.H. Bailey
40198	Practical Lithography	by Alfred Seymour
40199	Mabel, Vol. II (of 3)	by Emma Newby	[Subtitle: A Novel]
40200	Exultations	by Ezra Pound
40201	Things seen in Spain	by C. Gasquoine Hartley
40202	The Annals of Ann	by Kate Trimble Sharber
40204	Punch, or the London Charivari, Vol. 105 December 16, 1893	by Various	[Editor: F. C. Burnand]
40205	History of Cleopatra, Queen of Egypt	by Jacob Abbott
40206	Bible Studies	by Joseph M. Wheeler	[Subtitle: Essays On Phallic Worship And Other Curious Rites And Customs]
40207	The Christian Doctrine of Hell	by Joseph M. Wheeler
40208	Life of Thomas Paine	by Richard Carlile	[Subtitle: Written Purposely to Bind with his Writings]
40209	Marriage In Free Society	by Edward Carpenter
40210	Thomas Paine, The Apostle of Liberty	by John E. Remsburg	[Subtitle: An Address Delivered in Chicago, January 29, 1916; Including the Testimony of Five Hundred Witnesses]
40211	Church Reform	by Richard Carlile	[Subtitle: The Only Means to that End, Stated in a Letter to Sir Robert Peel, Bart. First Lord of The Treasury]
40212	A Letter To The Society for the Suppression of Vice, on their Malignant Efforts to Prevent a Free Enquiry After Truth and Reason	by Richard Carlile
40214	The Swan and Her Crew	by George Christopher Davies	[Subtitle: or The Adventures of Three Young Naturalists and Sportsmen on the Broads and Rivers of Norfolk]
40215	Descriptive Zoopraxography	by Eadweard Muybridge	[Subtitle: or the science of animal locomotion made popular]
40216	The Patriarchs	by J. G. Bellett
40219	The Border Rifles	by Gustave Aimard	[Subtitle: A Tale of the Texan War]
40220	How Women Should Ride	by C. De Hurst
40223	British Quarterly Review, American Edition, Volume LIV	by Various	[Subtitle: July and October, 1871]
40224	Evolution of Life and Form	by Annie Wood Besant	[Subtitle: Four lectures delivered at the twenty-third anniversary meeting of the Theosophical Society at Adyar, Madras, 1898]
40225	America Discovered by the Welsh in 1170 A.D.,by Benjamin Franklin Bowen
40226	The Fall of Prince Florestan of Monaco	by Charles Wentworth Dilke	[Author a.k.a. Prince Florestan]
40227	The love letters of Abelard and Heloise	by Peter Abelard and Heloise	[Editor: Ralph Seymour]
40229	History of Randolph-Macon College, Virginia	by Richard Irby	[Subtitle: The Oldest Incorporated Methodist College in America]
40232	Post-Impressions	by Simeon Strunsky	[Subtitle: An Irresponsible Chronicle]
40234	The Early Introduction of Bogus Freemasonry in the United States of America and Texas Among Colored Masons	by Charles L. Mitchell
40235	Expositor's Bible: The Books of Chronicles	by William Henry Bennett
40236	Memoirs of Benjamin Franklin; Written by Himself, Volume II (of 2) by Benjamin Franklin	[Subtitle: With his Most Interesting Essays, Letters, and Miscellaneous Writings; Familiar, Moral, Political, Economical, and Philosophical, Selected with Care from All His Published Productions, and Comprising Whatever Is Most Entertaining and Valuable to the General Reader]
40237	By the Sea and Other Verses	by Hannah Lavinia Baily
40238	A Thousand Miles in the Rob Roy Canoe on Rivers and Lakes of Europe	by John MacGregor
40240	Letters on Astronomy	by Denison Olmsted	[Subtitle: in which the Elements of the Science are Familiarly Explained in Connection with Biographical Sketches of the Most Eminent Astronomers]
40241	Hieroglyphics	by Arthur Machen
40242	The Modern Railroad	by Edward Hungerford
40243	The Hittites	by A. H. Sayce	[Subtitle: The story of a Forgotten Empire]
40244	The History of the Thirteen Colonies of North America 1497-1763	by Reginald W. Jeffery
40245	When the Owl Cries	by Paul Bartlett
40246	North Cornwall Fairies and Legends	by Enys Tregarthen
40249	In a Cheshire Garden	by Geoffrey Egerton-Warburton	[Subtitle: Natural History Notes]
40250	Of the Decorative Illustration of Books Old and New	by Walter Crane	[Subtitle: 3rd ed.]
40251	Titian; a collection of fifteen pictures and a portrait of the painter	by Estelle Hurll
40252	The Baptist Magazine, Vol. 27, May 1835	by Various	[Editor: George  Wightman]
40253	Peachmonk	by John Eyerman	[Subtitle: A Serio-Comic Detective Tale in Which No Fire-Arms Are Used and No One is Killed]
40254	Bert Wilson's Twin Cylinder Racer	by J. W. Duffield
40255	The Cultural History of Marlborough, Virginia	by C. Malcolm Watkins	[Subtitle: An Archeological and Historical Investigation of the Port Town for Stafford County and the Plantation of John Mercer, Including Data Supplied by Frank M. Setzler and Oscar H. Darter]
40256	Barium, A Cause of the Loco-Weed Disease	by Albert Cornelius Crawford
40257	Man's Place in Nature and Other Essays	by Thomas Henry Huxley
40259	Charles Auchester, Volume 2 (of 2)	by Elizabeth Sheppard
40260	The Last Days of Tolstoy	by V. G. Chertkov	[Translator: Nathalie A. Duddington]
40262	Frank Merriwell's Triumph	by Burt L. Standish	[Subtitle: The Disappearance of Felicia]
40263	Folly as It Flies	by Fanny Fern	[Subtitle: Hit At]
40264	Regiment of Women	by Clemence Dane
40265	The Great Quest	by Charles Boardman Hawes
40266	Punster's Pocket-book, Charles Molloy Westmacott	[Subtitle: or, the Art of Punning Enlarged by Bernard Blackmantle, illustrated with numerous original designs by Robert Cruikshank]
40267	The Celtic Magazine Vol I, No. IV, February 1876	by Various	[Subtitle: A Monthly Periodical Devoted to the Literature, History Antiquities, Folk Lore, Traditions, and the Social and Material Interest of the Celt at Home and Abroad]	[Editors: Alexander Mackenzie, Alexander Macgregor and Alexander Macbain]
40268	Significant Achievements in Space Bioscience 1958-1964	by the National Aeronautics and Space Administration
40269	At the Black Rocks	by Edward A. Rand
40270	Nooks and Corners of Pembrokeshire	by H. Thornhill Timmins
40271	London Before the Conquest	by W. R. Lethaby
40273	The Bolsheviki and World Peace	by Leon Trotzky
40274	Maps of Old London	by Anonymous	[Editor: Geraldine Edith Mitton]
40275	The Celtic Magazine Vol I, No. V, March 1876	by Various	[Subtitle: A Monthly Periodical Devoted to the Literature, History Antiquities, Folk Lore, Traditions, and the Social and Material Interest of the Celt at Home and Abroad]	[Editors: Alexander Mackenzie, Alexander Macgregor and Alexander Macbain]
40276	Stories of Invention	by Edward E. Hale	[Subtitle: Told by Inventors and their Friends]
40277	The Little Indian Weaver	by Madeline Brandeis
40278	The Threatening Eye	by Edward Frederick Knight
40280	Retrospect of Western Travel, Volume I (of 2)	by Harriet Martineau
40281	Retrospect of Western Travel, Volume II (of 2)	by Harriet Martineau
40282	Evolution and Classification of the Pocket Gophers of the Subfamily Geomyinae	by Robert J. Russell
40283	Rudy and Babette	by Hans Christian Andersen	[Subtitle: Or, Capture of The Eagle's Nest]
40284	The Sex Life of the Gods	by Michael Knerr
40285	The Syrian Christ	by Abraham Mitrie Rihbany
40287	The Treatment of Hay Fever	by George Frederick Laidlaw	[Subtitle: By rosin-weed, echthyol and faradic electricity, with a discussion of the old theory of gout and the new theory of anaphylaxis]
40288	The Modes of Ancient Greek Music	by David Binning Monro
40289	The Violin	by George Dubourg	[Subtitle: Some Account of That Leading Instrument and Its Most Eminent Professors, from Its Earliest Date to the Present Time; with Hints to Amateurs, Anecdotes, etc.]
40290	The Testimony of Tradition	by David MacRitchie
40292	Paris Vistas	by Helen Davenport Gibbons
40295	Lord Montagu's Page	by G. P. R. James	[Subtitle: An Historical Romance]
40297	Ole Bull	by Sara C. Bull	[Subtitle: A Memoir]
40300	Dorothy	by Evelyn Raymond
40301	Sporting Society, Vol. I (of 2)	by Various	[Subtitle: or, Sporting Chat and Sporting Memories]	[Editor: Fox Russell]
40302	Sporting Society, Vol. II (of 2)	by Various	[Subtitle: or, Sporting Chat and Sporting Memories]	[Editor: Fox Russell]
40303	The Rover Boys Down East	by Arthur M. Winfield	[Subtitle: or, The Struggle for the Stanhope Fortune]
40305	Problems of the Pacific	by Frank Fox
40306	Nooks and Corners of Old Paris	by Georges Cain	[Translator: Frederick Lawton]
40307	The Letters of William James, Vol. 1 (of 2)	by William James	[Subtitle: Edited by His Son, Henry James]
40309	The Art of Amusing	by Frank Bellew	[Subtitle: Being a Collection of Graceful Arts, Merry Games, Odd Tricks, Curious Puzzles, and New Charades]
40312	The Intoxicated Ghost	by Arlo Bates	[Subtitle: and other stories]
40315	The Contemporary Review, Volume 36, December 1879	by Various
40316	At the Age of Eve	by Kate Trimble Sharber
40318	The Book of Cheese	by Charles Thom and Walter Warner Fisk
40319	The Life of Mrs. Humphry Ward	by Janet Penrose Trevelyan
40320	Mr Punch Afloat, edited by J. A. Hammerton	[Subtitle: The Humours of Boating and Sailing]
40321	Grim Tales	by Edith Nesbit
40322	Modern Illustration	by Joseph Pennell
40323	The Celtic Magazine, Vol. I, No. VI, April 1886	by Various	[Subtitle: A Monthly Periodical Devoted to the Literature, History, Antiquities, Folk Lore, Traditions, and the Social and Material Interests of the Celt at Home and Abroad]	[Editors: Alexander Mackenzie, Alexander Macgregor and Alexander Macbain]
40324	True to a Type, Vol. I (of 2)	by Robert Cleland
40325	True to a Type, Vol. II (of 2)	by Robert Cleland
40330	Inchbracken	by Robert Cleland	[Subtitle: The Story of a Fama Clamosa]
40331	A Rich Man's Relatives (Vol. 1 of 3)	by Robert Cleland
40332	A Rich Man's Relatives (Vol. 2 of 3)	by Robert Cleland
40333	A Rich Man's Relatives (Vol. 3 of 3)	by Robert Cleland
40334	Birds in London	by W. H. Hudson
40335	The Bath Keepers, v.1 (Novels of Paul de Kock Volume VII)	by Charles Paul de Kock
40336	The Agrarian Problem in the Sixteenth Century	by Richard Henry Tawney
40337	Connie Morgan in Alaska	by James B. Hendryx
40338	The Further Adventures of Mr. Verdant Green, an Oxford Under-Graduate	by Cuthbert Bede	[Subtitle: Being a Continuation of 'The Adventures of Mr. Verdant Green, an Oxford Under-Graduate']
40339	Selections from the Observator (1681-1687)	by Roger L'Estrange
40340	Beaumarchais and the War of American Independence, Vol. 2 of 2	by Elizabeth S. Kite
40341	King Alfred's Old English Version of St. Augustine's Soliloquies by Saint Augustine	[Subtitle: Turned into Modern English]	[Translator: Henry Lee Hargrove]
40342	The Freedom of Science	by Joseph Donat
40343	Lilian	by Arnold Bennett
40344	Poems	by Francis Brett Young	[Subtitle: 1916-1918]
40345	A Song of the Guns	by Gilbert Frankau
40346	The Spanish Brothers	by Deborah Alcock	[Subtitle: A Tale of the Sixteenth Century]
40347	The Coward Behind the Curtain	by Richard Marsh
40348	The Crime and the Criminal	by Richard Marsh
40349	The Chase of the Ruby	by Richard Marsh
40350	Government in Republican China	by Paul Myron Anthony Linebarger
40352	Punch, or the London Charivari, Vol. 107. August 4, 1894	by Various	[Editor: Sir Francis Burnand]
40353	The Datchet Diamonds	by Richard Marsh
40354	Confessions of a Young Lady	by Richard Marsh	[Subtitle: Her Doings and Misdoings]
40355	Nooks and Corners of Shropshire	by H. Thornhill Timmins
40356	Cathedral Cities of Spain	by William Wiehe Collins
40357	Four Months Afoot in Spain	by Harry A. Franck
